"Name","ResourceGroupName","Location","Size"
"DC1","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_D1_v2"
"DC2","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_D1_v2"
"LinuxOMS01VM","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS2_v2"
"OMSTestVM","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
"RDGateway","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS2_v2"
"tfs","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS2_v2_Promo"
"Tools01","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
"Tools02","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
"Tools03","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
"Tools04","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
"Tools05","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
"Tools06","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
"vac30gatveo801","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Basic_A2"
"WindowsOMSVM","VA-AGILEDEVOPS-EAST-RG","usgovvirginia","Standard_DS1_v2"
